Type,Region,Residence _School Type,Service_Type,Year,Coverage,School_age _population,Service_level
sdg,Australia and New Zealand,pre_primary,Sanitation,2003,100,368406,Insufficient data
sdg,Australia and New Zealand,primary,Sanitation,2003,0,0,Insufficient data
sdg,Australia and New Zealand,rural,Sanitation,2003,100,718007,Insufficient data
sdg,Australia and New Zealand,secondary,Sanitation,2003,0,0,Insufficient data
sdg,Australia and New Zealand,urban,Sanitation,2003,100,3975574,Insufficient data
sdg,Australia and New Zealand,total,Sanitation,2003,0,0,Limited service
sdg,Australia and New Zealand,primary,Sanitation,2003,0,0,Limited service
sdg,Australia and New Zealand,secondary,Sanitation,2003,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2003,0,0,No service
sdg,Australia and New Zealand,primary,Sanitation,2003,0,0,No service
sdg,Australia and New Zealand,secondary,Sanitation,2003,0,0,No service
sdg,Australia and New Zealand,total,Hygiene,2004,100,4705579,Basic service
sdg,Australia and New Zealand,primary,Hygiene,2004,100,2250035,Basic service
sdg,Australia and New Zealand,secondary,Hygiene,2004,100,2088574,Basic service
sdg,Australia and New Zealand,total,Hygiene,2004,0,0,Insufficient data
sdg,Australia and New Zealand,pre_primary,Hygiene,2004,100,366970,Insufficient data
sdg,Australia and New Zealand,primary,Hygiene,2004,0,0,Insufficient data
sdg,Australia and New Zealand,rural,Hygiene,2004,100,714703,Insufficient data
sdg,Australia and New Zealand,secondary,Hygiene,2004,0,0,Insufficient data
sdg,Australia and New Zealand,urban,Hygiene,2004,100,3990877,Insufficient data
sdg,Australia and New Zealand,total,Hygiene,2004,0,0,Limited service
sdg,Australia and New Zealand,primary,Hygiene,2004,0,0,Limited service
sdg,Australia and New Zealand,secondary,Hygiene,2004,0,0,Limited service
sdg,Australia and New Zealand,total,Hygiene,2004,0,0,No service
sdg,Australia and New Zealand,primary,Hygiene,2004,0,0,No service
sdg,Australia and New Zealand,secondary,Hygiene,2004,0,0,No service
sdg,Australia and New Zealand,total,Sanitation,2004,100,4705579,Basic service
sdg,Australia and New Zealand,primary,Sanitation,2004,100,2250035,Basic service
sdg,Australia and New Zealand,secondary,Sanitation,2004,100,2088574,Basic service
sdg,Australia and New Zealand,total,Sanitation,2004,0,0,Insufficient data
sdg,Australia and New Zealand,pre_primary,Sanitation,2004,100,366970,Insufficient data
sdg,Australia and New Zealand,primary,Sanitation,2004,0,0,Insufficient data
sdg,Australia and New Zealand,rural,Sanitation,2004,100,714703,Insufficient data
sdg,Australia and New Zealand,secondary,Sanitation,2004,0,0,Insufficient data
sdg,Australia and New Zealand,urban,Sanitation,2004,100,3990877,Insufficient data
sdg,Australia and New Zealand,total,Sanitation,2004,0,0,Limited service
sdg,Australia and New Zealand,primary,Sanitation,2004,0,0,Limited service
sdg,Australia and New Zealand,secondary,Sanitation,2004,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2004,0,0,No service
sdg,Australia and New Zealand,primary,Sanitation,2004,0,0,No service
sdg,Australia and New Zealand,secondary,Sanitation,2004,0,0,No service
sdg,Australia and New Zealand,total,Hygiene,2005,100,4721657,Basic service
sdg,Australia and New Zealand,primary,Hygiene,2005,100,2237193,Basic service
sdg,Australia and New Zealand,secondary,Hygiene,2005,100,2116013,Basic service
sdg,Australia and New Zealand,total,Hygiene,2005,0,0,Insufficient data
sdg,Australia and New Zealand,pre_primary,Hygiene,2005,100,368451,Insufficient data
sdg,Australia and New Zealand,primary,Hygiene,2005,0,0,Insufficient data
sdg,Australia and New Zealand,rural,Hygiene,2005,100,712086,Insufficient data
